id_service,case_ump
5640.3526432,3
5640.3526484,3
5640.3526491,3
5640.3526492,3
5640.3526498,3
5640.3526508,3
5640.3526488,3
5640.3526504,3
5640.3526464,3
5640.3526477,3
5640.3526512,3
5640.3526460,3
5640.3526455,3
5640.3526523,3
5640.3526602,3
5640.3526604,3
5640.3526623,3
5640.3526612,3
5640.3526606,3
5640.3526592,3
5640.3526590,3
5640.3526619,3
5640.3526610,3
5640.3526594,3
5640.3526617,3
3590.2275329,3
3590.2276177,3
3590.2275572,3
3590.2275547,3
3590.2275889,3
3590.2275133,3
3590.2275880,3
3590.2275909,3
3590.2276115,3
3590.2275508,3
3590.2276174,3
3590.2276020,3
3590.2275602,3
3590.2275694,3
3590.2275876,3
3590.2275487,3
3590.2275586,3
3590.2276080,3
3590.2275285,3
3590.2275758,3
3590.2275559,3
3590.2275187,3
3590.2275405,3
3590.2275398,3
3590.2275130,3
3590.2275630,3
3590.2275482,3
3590.2275301,3
3590.2275704,3
3590.2275489,3
3590.2276079,3
3590.2276018,3
3590.2276078,3
3590.2275874,3
3590.2275204,3
3590.2275606,3
3590.2275341,3
3590.2276085,3
3590.2275197,3
3590.2275313,3
3590.2275666,3
3590.2275250,3
3590.2275949,3
3590.2275948,3
3590.2275650,3
3590.2275206,3
3590.2275140,3
3590.2276144,3
3590.2275663,3
3590.2275503,3
3590.2275690,3
3590.2275790,3
3590.2275883,3
3590.2275396,3
3590.2275822,3
3590.2275823,3
3590.2275664,3
3590.2275689,3
3590.2275824,3
3590.2276033,3
3590.2275361,3
3590.2276075,3
3590.2275633,3
3590.2275529,3
3590.2275939,3
3590.2275366,3
3590.2275493,3
3590.2275584,3
3590.2275306,3
3590.2276184,3
3590.2276119,3
3590.2276187,3
5640.3526630,3
5640.3526648,3
5640.3526667,3
5640.3526662,3
5640.3526660,3
5640.3526694,3
5640.3526680,3
5640.3526658,3
5640.3526651,3
5640.3526627,3
5640.3526670,3
5640.3526635,3
5640.3526663,3
5640.3526646,3
5640.3526628,3
5640.3526666,3
5640.3526639,3
5640.3526661,3
5640.3526649,3
5640.3526684,3
5640.3526685,3
5640.3526677,3
5640.3526679,3
5640.3526637,3
5640.3526664,3
5640.3526653,3
5640.3526656,3
5640.3526624,3
7420.43392,2
7420.43390,2
7420.43389,2
7420.43393,2
7420.43398,2
7420.43401,2
7420.43404,2
7420.43397,2
7420.43396,2
7420.43413,2
7420.43400,2
7420.43406,2
7420.43410,2
7420.43402,2
